"Aviation; monthly figures of Dutch airports"
""
"";"";"Topic"
"";"";"Aircraft movements|Cross-country flights";"Aircraft movements|Local flights";"Commercial air traffic|Flights|All flights|Total flights";"Commercial air traffic|Flights|All flights|Scheduled";"Commercial air traffic|Passengers|Total passengers|Total passengers";"Commercial air traffic|Cargo|Total cargo|Total cargo";"Commercial air traffic|Mail|Total mail|Total mail"
"Airports";"Periods";"number";"number";"number";"number";"number";"ton";"ton"
"Amsterdam Airport Schiphol";"2022 September*";"39029";"542";"37027";"36223";"5196,931";"121508";"538"
"Amsterdam Airport Schiphol";"2022 3rd quarter*";"116325";"1608";"110757";"108100";"15704,017";"358515";"1671"
"Amsterdam Airport Schiphol";"2022 October*";"38087";"597";"36361";"35507";"4912,421";"125358";"465"
"Amsterdam Airport Schiphol";"2022 November*";"31672";"468";"30348";"30054";"3987,405";"119074";"461"
"Amsterdam Airport Schiphol";"2022 December*";"31884";"448";"30669";"30389";"4101,978";"113118";"608"
"Amsterdam Airport Schiphol";"2022 4th quarter*";"101643";"1513";"97378";"95950";"13001,804";"357551";"1533"
"Amsterdam Airport Schiphol";"2022*";"416464";"5832";"397636";"389638";"52470,880";"1437,738";"7715"
"Amsterdam Airport Schiphol";"2023 January*";"31055";"501";"29987";"29598";"3896,388";"103981";"478"
"Amsterdam Airport Schiphol";"2023 February*";"29446";"467";"28345";"27995";"3782,228";"109035";"440"
"Amsterdam Airport Schiphol";"2023 March*";"34653";"545";"33128";"32760";"4585,101";"121746";"457"
"Amsterdam Airport Schiphol";"2023 1st quarter*";"95154";"1513";"91460";"90353";"12263,717";"334761";"1375"
"Amsterdam Airport Schiphol";"2023 April*";"37777";"492";"36258";"35746";"5128,555";"113459";"430"
"Amsterdam Airport Schiphol";"2023 May*";"41298";"584";"39568";"38806";"5599,870";"117999";"471"
"Amsterdam Airport Schiphol";"2023 June*";"40723";"541";"38912";"38170";"5664,120";"112994";"447"
"Amsterdam Airport Schiphol";"2023 2nd quarter*";"119798";"1617";"114738";"112722";"16392,545";"344453";"1349"
"Amsterdam Airport Schiphol";"2023 July*";"42541";"539";"40965";"39984";"6009,315";"113536";"407"
"Amsterdam Airport Schiphol";"2023 August*";"42932";"525";"41584";"40570";"6052,884";"110126";"454"
"Rotterdam The Hague Airport";"2019";"30100";"22245";"18406";"15374";"2094,798";"0";"0"
"Rotterdam The Hague Airport";"2020";"16119";"22459";"6337";"4916";"489841";"0";"0"
"Rotterdam The Hague Airport";"2021 1st quarter";"2439";"5456";"510";"20";"6280";"0";"0"
"Rotterdam The Hague Airport";"2021 2nd quarter";"4202";"8281";"1041";"526";"50166";"0";"0"
"Rotterdam The Hague Airport";"2021 3rd quarter";"7701";"8338";"4238";"3312";"463008";"0";"0"
"Rotterdam The Hague Airport";"2021 4th quarter";"4929";"5752";"2518";"1804";"235941";"0";"0"
"Rotterdam The Hague Airport";"2021";"19271";"27827";"8307";"5662";"755395";"0";"0"
"Rotterdam The Hague Airport";"2022 January*";"1437";"1358";"734";"495";"58903";"0";"0"
"Rotterdam The Hague Airport";"2022 February*";"1514";"1558";"699";"504";"63510";"0";"0"
"Rotterdam The Hague Airport";"2022 March*";"2461";"2962";"989";"781";"101163";"0";"0"
"Rotterdam The Hague Airport";"2022 1st quarter*";"5412";"5878";"2422";"1780";"223576";"0";"0"
"Rotterdam The Hague Airport";"2022 April*";"2733";"2558";"1437";"1134";"139308";"0";"0"
"Rotterdam The Hague Airport";"2022 May*";"3412";"2744";"1974";"1579";"224714";"0";"0"
"Rotterdam The Hague Airport";"2022 June*";"3368";"2482";"1858";"1460";"224069";"0";"0"
"Rotterdam The Hague Airport";"2022 2nd quarter*";"9513";"7784";"5269";"4173";"588091";"0";"0"
"Rotterdam The Hague Airport";"2022 July*";"3884";"2550";"2465";"1815";"312468";"0";"0"
"Rotterdam The Hague Airport";"2022 August*";"3628";"3064";"2353";"1747";"305371";"0";"0"
"Rotterdam The Hague Airport";"2022 September*";"3191";"2358";"1927";"1487";"226890";"0";"0"
"Rotterdam The Hague Airport";"2022 3rd quarter*";"10703";"7972";"6745";"5049";"844729";"0";"0"
"Rotterdam The Hague Airport";"2022 October*";"3105";"2048";"1914";"1574";"232223";"0";"0"
"Rotterdam The Hague Airport";"2022 November*";"1930";"1851";"1037";"847";"116089";"0";"0"
"Rotterdam The Hague Airport";"2022 December*";"1636";"1488";"996";"872";"108634";"0";"0"
"Rotterdam The Hague Airport";"2022 4th quarter*";"6671";"5387";"3947";"3293";"456946";"0";"0"
"Rotterdam The Hague Airport";"2022*";"32299";"27021";"18383";"14295";"2113,342";"0";"0"
"Rotterdam The Hague Airport";"2023 January*";"1840";"1790";"1052";"917";"113614";"0";"0"
"Rotterdam The Hague Airport";"2023 February*";"2059";"1868";"1108";"964";"123054";"0";"0"
"Rotterdam The Hague Airport";"2023 March*";"2516";"1907";"1455";"1212";"168396";"0";"0"
"Rotterdam The Hague Airport";"2023 1st quarter*";"6415";"5565";"3615";"3093";"405064";"0";"0"
"Rotterdam The Hague Airport";"2023 April*";"2712";"2371";"1469";"1205";"165235";"0";"0"
"Rotterdam The Hague Airport";"2023 May*";"3335";"2603";"1851";"1619";"234535";"0";"0"
"Rotterdam The Hague Airport";"2023 June*";"3465";"2476";"1826";"1526";"223911";"0";"0"
"Rotterdam The Hague Airport";"2023 2nd quarter*";"9512";"7450";"5146";"4350";"623681";"0";"0"
"Rotterdam The Hague Airport";"2023 July*";"3313";"2115";"2025";"1721";"260281";"0";"0"
"Rotterdam The Hague Airport";"2023 August*";"3225";"2522";"1962";"1714";"260788";"0";"0"
"Eindhoven Airport";"2019";"41441";"0";"40209";"39182";"6780,775";"0";"0"
"Eindhoven Airport";"2020";"18821";"1";"17875";"17248";"2112,785";"0";"0"
"Eindhoven Airport";"2021 1st quarter";"1068";"0";"967";"887";"63442";"0";"0"
"Eindhoven Airport";"2021 2nd quarter";"2679";"0";"2363";"2175";"227211";"0";"0"
"Eindhoven Airport";"2021 3rd quarter";"9553";"0";"9136";"8736";"1279,911";"0";"0"
"Eindhoven Airport";"2021 4th quarter";"8406";"0";"8058";"7752";"1127,860";"0";"0"
"Eindhoven Airport";"2021";"21706";"0";"20524";"19550";"2698,424";"0";"0"
"Eindhoven Airport";"2022 January*";"2220";"0";"2133";"2060";"275066";"0";"0"
"Eindhoven Airport";"2022 February*";"2238";"0";"2151";"2064";"309283";"0";"0"
"Eindhoven Airport";"2022 March*";"2806";"0";"2700";"2595";"401775";"0";"0"
"Eindhoven Airport";"2022 1st quarter*";"7264";"0";"6984";"6719";"986124";"0";"0"
"Eindhoven Airport";"2022 April*";"3504";"0";"3390";"3281";"545981";"0";"0"
"Eindhoven Airport";"2022 May*";"3901";"0";"3768";"3645";"618681";"0";"0"
"Eindhoven Airport";"2022 June*";"3858";"0";"3724";"3622";"631243";"0";"0"
"Eindhoven Airport";"2022 2nd quarter*";"11263";"0";"10882";"10548";"1795,905";"0";"0"
"Eindhoven Airport";"2022 July*";"4049";"0";"3909";"3799";"662646";"0";"0"
"Eindhoven Airport";"2022 August*";"4067";"0";"3948";"3842";"678848";"0";"0"
"Eindhoven Airport";"2022 September*";"3926";"0";"3800";"3658";"636581";"0";"0"
"Eindhoven Airport";"2022 3rd quarter*";"12042";"0";"11657";"11299";"1978,075";"0";"0"
"Eindhoven Airport";"2022 October*";"4043";"0";"3935";"3799";"669753";"0";"0"
"Eindhoven Airport";"2022 November*";"2740";"0";"2683";"2625";"448417";"0";"0"
"Eindhoven Airport";"2022 December*";"2904";"0";"2838";"2778";"452325";"0";"0"
"Eindhoven Airport";"2022 4th quarter*";"9687";"0";"9456";"9202";"1570,495";"0";"0"
"Eindhoven Airport";"2022*";"40256";"0";"38979";"37768";"6330,599";"0";"0"
"Eindhoven Airport";"2023 January*";"2919";"0";"2843";"2761";"452713";"0";"0"
"Eindhoven Airport";"2023 February*";"2637";"0";"2565";"2486";"425978";"0";"0"
"Eindhoven Airport";"2023 March*";"3072";"0";"2970";"2903";"503693";"0";"0"
"Eindhoven Airport";"2023 1st quarter*";"8628";"0";"8378";"8150";"1382,384";"0";"0"
"Eindhoven Airport";"2023 April*";"3572";"0";"3495";"3395";"597756";"0";"0"
"Eindhoven Airport";"2023 May*";"3964";"0";"3864";"3751";"664708";"0";"0"
"Eindhoven Airport";"2023 June*";"3878";"0";"3774";"3659";"640577";"0";"0"
"Eindhoven Airport";"2023 2nd quarter*";"11414";"0";"11133";"10805";"1903,041";"0";"0"
"Eindhoven Airport";"2023 July*";"4007";"0";"3915";"3798";"671051";"0";"0"
"Eindhoven Airport";"2023 August*";"4003";"0";"3929";"3810";"680983";"0";"0"
"Maastricht Aachen Airport";"2019";"11404";"2681";"7199";"5784";"435977";"111457";"0"
"Maastricht Aachen Airport";"2020";"8962";"2690";"6127";"4597";"81080";"135985";"0"
"Maastricht Aachen Airport";"2021 1st quarter";"1970";"385";"1565";"1190";"1870";"31958";"0"
"Maastricht Aachen Airport";"2021 2nd quarter";"2443";"988";"1578";"1238";"8151";"29804";"0"
"Maastricht Aachen Airport";"2021 3rd quarter";"2979";"865";"1806";"1449";"62962";"28818";"0"
"Maastricht Aachen Airport";"2021 4th quarter";"2598";"674";"1652";"1311";"24663";"37413";"0"
"Maastricht Aachen Airport";"2021";"9990";"2912";"6601";"5188";"97646";"127994";"0"
"Maastricht Aachen Airport";"2022 January*";"613";"58";"431";"290";"5880";"9035";"0"
"Maastricht Aachen Airport";"2022 February*";"681";"193";"398";"288";"3288";"7746";"0"
"Maastricht Aachen Airport";"2022 March*";"853";"330";"434";"350";"3371";"9372";"0"
"Maastricht Aachen Airport";"2022 1st quarter*";"2147";"581";"1263";"928";"12539";"26152";"0"
"Maastricht Aachen Airport";"2022 April*";"938";"280";"514";"393";"15386";"9763";"0"
"Maastricht Aachen Airport";"2022 May*";"1073";"420";"542";"399";"22019";"8634";"0"
"Maastricht Aachen Airport";"2022 June*";"1258";"454";"599";"396";"20728";"9584";"0"
"Maastricht Aachen Airport";"2022 2nd quarter*";"3269";"1154";"1655";"1188";"58133";"27981";"0"
"Maastricht Aachen Airport";"2022 July*";"1305";"216";"712";"580";"45778";"9898";"0"
"Maastricht Aachen Airport";"2022 August*";"1063";"198";"696";"570";"53999";"8161";"0"
"Maastricht Aachen Airport";"2022 September*";"942";"194";"640";"479";"35942";"9230";"0"
"Maastricht Aachen Airport";"2022 3rd quarter*";"3310";"608";"2048";"1629";"135719";"27289";"0"
"Maastricht Aachen Airport";"2022 October*";"869";"310";"587";"486";"30520";"10154";"0"
"Maastricht Aachen Airport";"2022 November*";"738";"184";"460";"294";"15032";"9321";"0"
"Maastricht Aachen Airport";"2022 December*";"576";"88";"396";"288";"14089";"7321";"0"
"Maastricht Aachen Airport";"2022 4th quarter*";"2183";"582";"1443";"1068";"59641";"26796";"0"
"Maastricht Aachen Airport";"2022*";"10909";"2925";"6409";"4813";"266032";"108218";"0"
"Maastricht Aachen Airport";"2023 January*";"548";"158";"376";"277";"13518";"5133";"0"
"Maastricht Aachen Airport";"2023 February*";"581";"170";"331";"228";"13883";"4113";"0"
"Maastricht Aachen Airport";"2023 March*";"815";"146";"423";"234";"15890";"3661";"0"
"Maastricht Aachen Airport";"2023 1st quarter*";"1944";"474";"1130";"739";"43291";"12907";"0"
"Maastricht Aachen Airport";"2023 April*";"631";"306";"326";"204";"15696";"2670";"0"
"Maastricht Aachen Airport";"2023 May*";"131";"72";"60";"38";"3485";"282";"0"
"Maastricht Aachen Airport";"2023 June*";"0";"0";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2023 2nd quarter*";"762";"378";"386";"242";"19181";"2952";"0"
"Maastricht Aachen Airport";"2023 July*";"788";"248";"525";"381";"38134";"2166";"0"
"Maastricht Aachen Airport";"2023 August*";"755";"356";"479";"377";"43360";"1993";"0"
"Groningen Airport Eelde";"2019";"10963";"20954";"3390";"2133";"176022";"0";"0"
"Groningen Airport Eelde";"2020";"8126";"31258";"612";"320";"17528";"0";"0"
"Groningen Airport Eelde";"2021 1st quarter";"1604";"7334";"83";"0";"0";"0";"0"
"Groningen Airport Eelde";"2021 2nd quarter";"2805";"16326";"106";"0";"694";"0";"0"
"Groningen Airport Eelde";"2021 3rd quarter";"2685";"14302";"273";"0";"14806";"0";"0"
"Groningen Airport Eelde";"2021 4th quarter";"1888";"10056";"212";"0";"11760";"0";"0"
"Groningen Airport Eelde";"2021";"8982";"48018";"674";"0";"27260";"0";"0"
"Groningen Airport Eelde";"2022 January*";"563";"3320";"75";"0";"3666";"0";"0"
"Groningen Airport Eelde";"2022 February*";"828";"3695";"79";"0";"3436";"0";"0"
"Groningen Airport Eelde";"2022 March*";"1166";"5958";"63";"0";"3306";"0";"0"
"Groningen Airport Eelde";"2022 1st quarter*";"2557";"12973";"217";"0";"10408";"0";"0"
"Groningen Airport Eelde";"2022 April*";"1029";"4076";"62";"0";"5010";"0";"0"
"Groningen Airport Eelde";"2022 May*";"1043";"4264";"120";"0";"8746";"0";"0"
"Groningen Airport Eelde";"2022 June*";"1260";"5606";"148";"0";"9400";"0";"0"
"Groningen Airport Eelde";"2022 2nd quarter*";"3332";"13946";"330";"0";"23156";"0";"0"
"Groningen Airport Eelde";"2022 July*";"1114";"5362";"132";"0";"11314";"0";"0"
"Groningen Airport Eelde";"2022 August*";"1131";"5378";"135";"0";"13390";"0";"0"
"Groningen Airport Eelde";"2022 September*";"901";"5230";"129";"0";"12223";"0";"0"
"Groningen Airport Eelde";"2022 3rd quarter*";"3146";"15970";"396";"0";"36927";"0";"0"
"Groningen Airport Eelde";"2022 October*";"1013";"4706";"112";"0";"9732";"0";"0"
"Groningen Airport Eelde";"2022 November*";"796";"3268";"69";"0";"3515";"0";"0"
"Groningen Airport Eelde";"2022 December*";"591";"2423";"69";"0";"3467";"0";"0"
"Groningen Airport Eelde";"2022 4th quarter*";"2400";"10397";"250";"0";"16714";"0";"0"
"Groningen Airport Eelde";"2022*";"11435";"53286";"1193";"0";"87205";"0";"0"
"Groningen Airport Eelde";"2023 January*";"676";"4006";"64";"0";"3781";"0";"0"
"Groningen Airport Eelde";"2023 February*";"850";"4477";"67";"0";"3501";"0";"0"
"Groningen Airport Eelde";"2023 March*";"927";"4446";"68";"0";"3771";"0";"0"
"Groningen Airport Eelde";"2023 1st quarter*";"2453";"12929";"199";"0";"11053";"0";"0"
"Groningen Airport Eelde";"2023 April*";"1030";"4770";"61";"0";"5532";"0";"0"
"Groningen Airport Eelde";"2023 May*";"1100";"4939";"126";"0";"12283";"0";"0"
"Groningen Airport Eelde";"2023 June*";"1194";"5484";"126";"0";"10831";"0";"0"
"Groningen Airport Eelde";"2023 2nd quarter*";"3324";"15193";"313";"0";"28646";"0";"0"
"Groningen Airport Eelde";"2023 July*";"1016";"4229";"126";"0";"12466";"0";"0"
"Groningen Airport Eelde";"2023 August*";"1045";"5272";"157";"0";"23618";"0";"0"
"Source: CBS"
